feature,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,total
rewards_all_kloutScore50,22.73,6.89,6.28,1.29,19.2,1.25,14.56,1.89,25.21,0.71,111740
rewards_all_bio_wine,21.16,7.39,4.66,0.57,23.44,0.87,10.81,8.61,22.22,0.27,2637
rewards_all_bio_beer,27.42,5.27,3.64,0.74,24.3,0.74,9.09,3.93,24.27,0.59,2695
rewards_all_bio_dog,16.73,10.67,4.51,2.39,22.24,2.29,9.46,8.67,20.59,2.44,4142
rewards_all_not_retweets,15.72,6.25,4.16,11.86,16.47,8.15,9.96,4.43,16.11,6.88,654188
rewards_all_bio_cat,15.0,4.6,4.01,0.98,44.04,1.33,10.82,2.92,15.46,0.84,35742
rewards_all_links,16.96,7.4,4.63,13.24,14.61,10.12,8.58,5.07,11.08,8.3,590690
rewards_all_gratitude,8.51,14.04,3.84,0.42,20.61,0.64,5.5,3.41,42.44,0.6,7948
rewards_apps,0.15,54.64,24.25,11.19,0.97,5.98,0.01,0.06,2.19,0.57,46371
rewards_all_bio_mom,12.96,16.94,4.84,5.87,20.98,3.94,9.62,9.83,12.88,2.14,12801
rewards_general,17.85,1.67,3.23,10.14,18.61,7.94,13.53,0.03,20.13,6.87,732293
rewards_programs,0.95,33.96,2.41,0.01,9.75,0.05,0.05,52.47,0.29,0.05,64310
rewards_all_bio_dad,17.35,8.71,6.33,3.7,18.15,4.42,12.03,5.66,21.21,2.42,5244
